chain,pair,sym0,sym1,usd,reason
fantom,0xc12a874065b52926f89f29253744c15bc37eaf0b,WFTM,eFDEX,7577.268579900252,holds < $10k
bsc,0x3f3b8b3dd84135a61b816e31eadd20374eba4834,WBNB,ADAFlect,7010.676737151458,holds < $10k
ethereum,0x022d0c35598f4ec5ce30e5bb23c31959e93412e1,EMTI,WETH,5286.738269102135,holds < $10k
polygon,0x6d0d97fe6c323e5b3248ceb356dbf74708c2d8be,WPOL,PDEX,4596.76638390305,holds < $10k
avax,0x81722774c920dbcd4548aa6d18652f07a971cbae,OcDa,WAVAX,1922.8302013270818,holds < $10k
bsc,0x424ee77418c492b9861a3796402ffb22136a5863,bPRISM,WBNB,1680.2635581724471,holds < $10k
cronos,0x357375b96c37afefc1fe1e9a37c2ecafa7b74dac,WCRO,USDC,1534.5455660280154,holds < $10k
cronos,0xfc90d4ddcb7faf538bfd29e4dd7141c04fc3eb32,WCRO,SHID,1349.8097865919535,holds < $10k
ethereum,0x9de898825f7f851694e4c93d7f233b35787c99a7,WETH,MIYAZAKI,1296.6601841162314,holds < $10k
bsc,0xb1ba397a2d3a84436c5cbbdfa6bb6d78812e62af,YY,WBNB,1218.831707069451,holds < $10k
cronos,0x08a63716cdbd618aa4b2ac98449bc0357806996f,TENDIES,WCRO,1125.733723051808,holds < $10k
cronos,0xdc6e9dbba4e661636486549100fc0fda3930264e,WCRO,CROVID,898.8244495927324,holds < $10k
bsc,0x15443197c97009737e8e9fe3eac321affcba65c1,WBNB,BUSD,814.8351288144949,holds < $10k
ethereum,0x8380f233ff5553f536d9e204de735ba8ca10e556,DAI,WETH,646.2207505481693,holds < $10k
xdai,0x42fcf0a122933efd67ca35c8aef91e7609ad8562,xPRISM,WXDAI,416.1716317756861,holds < $10k
bsc,0x05e68a71a489bb96de3b7da7440ece8d0a326853,WBNB,DOLPH,294.3914871653648,holds < $10k
bsc,0x0f0b45f680b49408649d42f6ac887469169ec97e,RELOAD,WBNB,292.2262107703895,holds < $10k
avax,0x09e7bff9efe20471c79e8acaadc9713a43788330,aPRISM,WAVAX,266.16898482071934,holds < $10k
bsc,0xb1326f3c4eb110d46871bcffc5aade7a6454cd37,BTCB,BUSD,244.95815159388974,holds < $10k
bsc,0x0d3e6df10d88ba11b738dc41290a4829505d8c37,ADMC,WBNB,214.45282994283158,holds < $10k
bsc,0xec08e44232d7385472b4e1d374dea7d7b780d5dc,USDT,BUSD,124.66024063598688,holds < $10k
ethereum,0x84874b8be9966839f95fa6c343b0fa5dcfc94096,WETH,PRISM,119.17445122790967,holds < $10k
fantom,0x2703f8eb09b1d6d3dc5727329e8f17e58146b49b,USDC,WFTM,113.53515109900252,holds < $10k
bsc,0xe518e01583783b9f240fa02ff451726f13c63381,USDC,BUSD,102.08399941124523,holds < $10k
polygon,0x733cc311ebae030ee877c9ea6eccfbf659c142aa,WPOL,pPRISM,81.61973855794285,holds < $10k
cronos,0x3fecec41c91c87fa15ca1c43ecb3f5488dc8e264,CROCRO,WCRO,61.61763904829406,holds < $10k
fantom,0xadf91b184608e6915fa892fa979604e440352bcd,WFTM,fPRISM,53.72999736682207,holds < $10k
bsc,0x6a38723e0acb329c887ed9f180d0e3913aef4ddc,USDT,WBNB,50.60216202761619,holds < $10k
kava,0x0a62c64fe8814fa0ded634b3e02bfb43c5acd273,eUSDC,WKAVA,36.28205894333638,holds < $10k
xdai,0xc63c796fa1da50ca5a2c90ca144469fff1140e45,USDC,WXDAI,22.98413261090156,holds < $10k
bsc,0x8175a6c23009b31cb46a7bcdd9c13a300da2cd95,BTCB,WBNB,21.447227861293328,holds < $10k
polygon,0x460629717f18bdf5354f3925d98153a48ad13b94,WPOL,EMPIRE,17.355075587990886,holds < $10k
bsc,0x571073e1ffcd0879fafa34167a0490ebf9594b52,ETH,WBNB,16.781131735723,holds < $10k
bsc,0xc1616531a122171f13678445d682942fd77d39ab,FF,WBNB,13.515462248130515,holds < $10k
bsc,0x05f291f0b4b3a9b53bb4cd99984802bd75593771,WBNB,MetaBC,12.521439132683616,holds < $10k
bsc,0xc9cabe140ccb1c2d0daaacf9466e19b288b3606e,WBNB,COG,12.027445051819265,holds < $10k
bsc,0x7993d6dccd29d9ddd03c8e6a32791055106ad9b3,ETH,BUSD,9.79239174024012,holds < $10k
cronos,0xcfcd17631a06816c2925e74bcb766ceac642bf82,WCRO,WETH,9.568049559492742,holds < $10k
fantom,0xaadaa2844921ecbb1f74c2900fbc383dbfb493c8,WFTM,ETH,7.834389332162014,holds < $10k
avax,0x63a8d40d4c677cde46eecf954ea4eb4359e695ef,USDC.e,WAVAX,3.1911566744450166,holds < $10k
cronos,0x507826e30aef1034bad2ef927f56a941f5f8b9bc,upCRO,USDC,2.6106547416590367,holds < $10k
polygon,0xb988bf9071697f233d1e9efe3927b641237d247e,WPOL,USDC,2.5535134225852034,holds < $10k
fantom,0x953026527b56a4975329e6207774fee676aa74da,WFTM,BTC,2.542911599385848,holds < $10k
cronos,0x9e3e2024bdf4873065010e14c9f1e47a114bd4ba,WCRO,croPRISM,2.4214898976626285,holds < $10k
bsc,0xf6620ed2dca67a86bf568c89e3e0dd6643316cc7,aa,WBNB,1.2176092115432895,holds < $10k
polygon,0x50861243902c2eb07b8028c41f4455f5eb3d13ff,WPOL,cMATICalpha,1.0619181204104997,holds < $10k
cronos,0x8189e7852d79543e8510262bcee63aa8db768529,WCRO,SPLNTYDEV,1.0030911537989402,holds < $10k
cronos,0xb1b7031a16c877e1469d6e207978f0936d66bea2,WCRO,raca,0.95948587737435,holds < $10k
cronos,0xffa2d2e9551138c21e9e5ac382a9ae6169da8c27,WCRO,r1,0.8777993198069377,holds < $10k
cronos,0x44633ecb203f3873ef2c60b81fd47f7de801edff,WCRO,cHIBIKI,0.7609140711593956,holds < $10k
cronos,0xf44c704c289a4ca301fbb49e44a3e28dbd3b6c4f,WCRO,BRIAR,0.699427301354574,holds < $10k
